symbol,name,price,change,change_percentage,market_value(100M),industry,date
2352,佳世達,29.45,-0.3,-1.01,579.0,電腦及週邊設備業,2021/05/13
3023,信邦,245.0,10.5,4.48,570.0,電子零組件業,2021/05/13
6781,AES-KY,658.0,59.0,9.85,562.0,電子零組件業,2021/05/13
5904,寶雅,574.0,1.0,0.17,561.0,貿易百貨業,2021/05/13
3532,台勝科,144.0,-2.0,-1.37,559.0,半導體業,2021/05/13
1722,台肥,56.2,-0.3,-0.53,551.0,化學工業,2021/05/13
2542,興富發,42.1,-0.5,-1.17,543.0,建材營造業,2021/05/13
1907,永豐餘,32.5,-0.05,-0.15,540.0,造紙工業,2021/05/13
6176,瑞儀,116.0,-1.0,-0.85,539.0,光電業,2021/05/13
6116,彩晶,17.75,-0.85,-4.57,537.0,光電業,2021/05/13
2006,東和鋼鐵,49.0,-2.1,-4.11,492.0,鋼鐵工業,2021/05/13
3293,鈊象,742.0,-17.0,-2.24,523.0,文化創意業,2021/05/13
2371,大同,22.3,-0.6,-2.62,522.0,電機機械,2021/05/13
2449,京元電子,42.05,-0.9,-2.1,514.0,半導體業,2021/05/13
2923,鼎固-KY,29.35,-1.1,-3.61,511.0,建材營造業,2021/05/13
1434,福懋,30.3,-0.6,-1.94,510.0,紡織纖維,2021/05/13
2383,台光電,151.5,1.5,1.0,504.0,電子零組件業,2021/05/13
5820,日盛金,12.9,0.05,0.39,487.0,金控業,2021/05/13
3533,嘉澤,467.0,-14.0,-2.91,483.0,電子零組件業,2021/05/13
2889,國票金,16.6,0.05,0.3,481.0,金控業,2021/05/13
1227,佳格,52.4,0.3,0.58,480.0,食品工業,2021/05/13
3406,玉晶光,423.0,13.0,3.17,471.0,光電業,2021/05/13
2812,台中銀,11.3,-0.1,-0.88,469.0,銀行業,2021/05/13
1210,大成,56.4,1.0,1.81,467.0,食品工業,2021/05/13
2915,潤泰全,81.1,-0.6,-0.73,458.0,貿易百貨業,2021/05/13
1440,南紡,27.25,-3.0,-9.92,451.0,紡織纖維,2021/05/13
1904,正隆,40.55,-0.25,-0.61,449.0,造紙工業,2021/05/13
2606,裕民,52.7,-5.8,-9.91,445.0,航運業,2021/05/13
2809,京城銀,39.65,-0.5,-1.25,445.0,銀行業,2021/05/13
6531,愛普,592.0,-34.0,-5.43,438.0,半導體業,2021/05/13
1717,長興,35.4,-0.8,-2.21,439.0,化學工業,2021/05/13
6147,頎邦,65.2,0.7,1.09,438.0,半導體業,2021/05/13
2637,慧洋-KY,57.5,-6.3,-9.87,429.0,航運業,2021/05/13
9941,裕融,128.5,3.0,2.39,427.0,其他業,2021/05/13
3714,富采,61.8,-2.4,-3.74,424.0,光電業,2021/05/13
2023,燁輝,22.4,-2.45,-9.86,423.0,鋼鐵工業,2021/05/13
2404,漢唐,221.5,4.0,1.84,422.0,其他電子業,2021/05/13
3443,創意,312.0,-7.5,-2.35,418.0,半導體業,2021/05/13
2015,豐興,71.7,-5.4,-7.0,417.0,鋼鐵工業,2021/05/13
2313,華通,34.7,1.1,3.27,414.0,電子零組件業,2021/05/13
6589,台康生技,169.5,15.0,9.71,409.0,生技醫療業,2021/05/13
9917,中保科,91.1,-0.4,-0.44,411.0,其他業,2021/05/13
6592,和潤企業,79.5,-0.9,-1.12,409.0,其他業,2021/05/13
1314,中石化,12.45,-0.55,-4.23,409.0,塑膠工業,2021/05/13
5522,遠雄,52.3,-0.7,-1.32,409.0,建材營造業,2021/05/13
6269,台郡,112.0,1.5,1.36,405.0,電子零組件業,2021/05/13
3036,文曄,49.35,-0.95,-1.89,390.0,電子通路業,2021/05/13
3189,景碩,86.1,-1.3,-1.49,388.0,半導體業,2021/05/13
6213,聯茂,116.5,0.5,0.43,388.0,電子零組件業,2021/05/13
4961,天鈺,231.0,-1.5,-0.65,385.0,半導體業,2021/05/13
2201,裕隆,38.4,0.3,0.79,384.0,汽車工業,2021/05/13
2204,中華,67.8,-1.2,-1.74,375.0,汽車工業,2021/05/13
2441,超豐,65.0,-1.0,-1.52,370.0,半導體業,2021/05/13
3545,敦泰,171.0,10.0,6.21,370.0,半導體業,2021/05/13
2845,遠東銀,10.5,0.0,0.0,362.0,銀行業,2021/05/13
2855,統一證,25.8,-0.7,-2.64,361.0,證券業,2021/05/13
2106,建大,39.4,-0.85,-2.11,358.0,橡膠工業,2021/05/13
3374,精材,132.0,10.0,8.2,358.0,半導體業,2021/05/13
2838,聯邦銀,11.55,-0.1,-0.86,357.0,銀行業,2021/05/13
1304,台聚,29.8,-0.7,-2.3,354.0,塑膠工業,2021/05/13
6005,群益證,16.1,-0.3,-1.83,350.0,證券業,2021/05/13
2059,川湖,366.0,1.5,0.41,349.0,電子零組件業,2021/05/13
3006,晶豪科,115.0,3.0,2.68,329.0,半導體業,2021/05/13
3706,神達,27.0,-0.45,-1.64,326.0,電腦及週邊設備業,2021/05/13
3576,聯合再生,12.1,-0.3,-2.42,322.0,光電業,2021/05/13
8415,大國鋼,31.25,-0.7,-2.19,322.0,鋼鐵工業,2021/05/13
3152,璟德,465.5,19.5,4.37,321.0,通信網路業,2021/05/13
3661,世芯-KY,453.5,-29.0,-6.01,316.0,半導體業,2021/05/13
3665,貿聯-KY,238.0,-2.0,-0.83,311.0,其他電子業,2021/05/13
6456,GIS-KY,93.5,1.2,1.3,316.0,光電業,2021/05/13
3682,亞太電,8.26,-0.12,-1.43,315.0,通信網路業,2021/05/13
1409,新纖,19.15,-2.0,-9.46,310.0,紡織纖維,2021/05/13
2903,遠百,21.85,-0.4,-1.8,310.0,貿易百貨業,2021/05/13
8150,南茂,42.5,0.85,2.04,309.0,半導體業,2021/05/13
2101,南港,37.0,-1.05,-2.76,309.0,橡膠工業,2021/05/13
6582,申豐,290.0,-1.5,-0.51,308.0,橡膠工業,2021/05/13
1313,聯成,23.05,-0.85,-3.56,307.0,塑膠工業,2021/05/13
4123,晟德,64.7,-1.6,-2.41,297.0,生技醫療業,2021/05/13
6491,晶碩,423.0,-16.5,-3.75,296.0,生技醫療業,2021/05/13
3005,神基,50.0,-0.3,-0.6,296.0,電腦及週邊設備業,2021/05/13
2451,創見,68.5,-0.6,-0.87,294.0,半導體業,2021/05/13
3653,健策,238.5,13.5,6.0,292.0,電子零組件業,2021/05/13
1909,榮成,22.75,-1.55,-6.38,291.0,造紙工業,2021/05/13
6271,同欣電,161.5,3.0,1.89,289.0,半導體業,2021/05/13
2498,宏達電,35.05,-1.2,-3.31,287.0,通信網路業,2021/05/13
